legalQualification;meansOfCommission;injurySeverity;numberOfVictims;repetition;previousConviction;mitigatingFactors;aggravatingFactors;verdictType;usesWeapon;usesGrossViolence;violatesIntegrity;causesSeriousInjury;victimIsMinor;causesDeath;violatesProtectionMeasures;legalObligationToSupport;dutyEstablishedByCourtOrder;failsToPaySupport;justifiedReasonsForNonpayment;severeConsequencesForVictim;caseId
čl. 220 st. 1;fizička sila;laka;2;true;false;neosuđivanost;nema;osudjujuca;false;true;family_member_yes;false;false;false;false;false;false;false;false;false;K-107-2024
čl. 220 st. 4 u vezi st. 1;upaljač;laka;1;false;false;neosuđivanost;;osudjujuca;false;false;family_member_yes;false;false;false;false;false;false;false;false;false;K-11-2025
čl. 221 st. 1;nema;nema;1;false;false;nema;nema;osudjujuca;false;false;family_member_yes;false;true;false;false;true;true;true;false;false;K-12-2024
čl. 221 st. 1;nema;nema;1;true;false;neosuđivanost;nema;osudjujuca;false;false;family_member_yes;false;false;false;false;true;true;true;false;false;K-130-2024
čl. 221 st. 1;nema;nema;1;false;false;neosuđivanost;nema;osudjujuca;false;false;family_member_yes;false;true;false;false;true;true;true;false;false;K-13-2024
čl. 221 st. 1;nema;nema;2;false;false;neosuđivanost;nema;osudjujuca;false;false;family_member_yes;false;true;false;false;true;true;true;false;false;K-145-2024
čl. 221 st. 1;nema;nema;3;true;false;neosuđivanost;nema;osudjujuca;false;false;family_member_yes;false;true;false;false;true;true;true;false;false;K-148-2024
čl. 220 st. 1;prijetnja, fizička sila;nema;2;true;false;neosuđivanost;;osudjujuca;false;false;family_member_yes;false;false;false;false;false;false;false;false;false;K-149-2024
čl. 221 st. 1;nema;nema;2;true;false;nema;nema;osudjujuca;false;false;family_member_yes;false;true;false;false;true;true;true;false;false;K-166-2024
čl. 220 st. 1;prijetnja;nema;1;false;false;neosuđivanost;;osudjujuca;false;false;family_member_yes;false;false;false;false;false;false;false;false;true;K-16-2025
čl. 220 st. 3 u vezi st. 1;prijetnja;nema;1;false;false;neosuđivanost;;osudjujuca;false;false;family_member_yes;false;false;false;false;false;false;false;false;false;K-1-2025
čl. 220 st. 4 u vezi st. 1;prijetnja;nema;1;false;false;neosuđivanost;;osudjujuca;false;false;family_member_yes;false;false;false;false;false;false;false;false;false;K-216-2024
čl. 221 st. 1;nema;nema;4;true;false;nema;nema;osudjujuca;false;false;family_member_yes;false;true;false;false;true;true;true;false;false;K-24-2024
čl. 221 st. 1;nema;nema;2;true;false;neosuđivanost;nema;osudjujuca;false;false;family_member_yes;false;true;false;false;true;true;true;false;false;K-36-2024
čl. 221 st. 1;nema;nema;2;true;false;neosuđivanost;nema;osudjujuca;false;false;family_member_yes;false;true;false;false;true;true;true;false;false;K-38-2024
čl. 220 st. 1;prijetnja;nema;1;false;false;neosuđivanost;;osudjujuca;false;true;family_member_yes;false;false;false;false;false;false;false;false;false;K-40-2024
čl. 220 st. 1;prijetnja;laka;1;false;false;neosuđivanost;;osudjujuca;false;false;family_member_yes;false;false;false;false;false;false;false;false;false;K-76-2024
čl. 168 st. 2 u vezi st. 1;prijetnja;nema;2;false;false;neosuđivanost;;osudjujuca;false;false;family_member_no;false;false;false;false;false;false;false;false;false;K-90-2024
čl. 220 st. 1;vrijeđanje ljudskog dostojanstva;nema;1;false;false;neosuđivanost;;osudjujuca;false;false;family_member_yes;false;false;false;false;false;false;false;false;false;K-91-2024
čl. 220 st. 1;prijetnja, fizička sila;nema;2;true;false;neosuđivanost;povrat;osudjujuca;true;false;family_member_yes;false;false;false;true;false;true;false;false;false;K-92-2024
čl. 220 st. 1 KZ;;laka;1;false;false;;;osudjujuca;false;true;family_member_yes;false;false;false;false;false;false;false;false;false;K-329-2026
čl. 220 st. 1 KZ;;laka;1;false;false;;;osudjujuca;false;true;family_member_yes;false;false;false;false;false;false;false;false;false;K-741-2026
čl. 220 st. 1 KZ;;laka;1;false;false;;;osudjujuca;false;true;family_member_yes;false;false;false;false;false;false;false;false;false;K-974-2026
